Study,Subject,Group,Session,Metric,Metric_value,State
SRM,081,SRM,t1,bad_by_deviation,0,original
SRM,082,SRM,t1,bad_by_hf_noise,4,original
SRM,082,SRM,t2,bad_by_correlation,0,original
SRM,083,SRM,t1,bad_by_SNR,0,original
SRM,084,SRM,t1,bad_by_dropout,0,original
SRM,084,SRM,t2,bad_by_ransac,0,original
SRM,085,SRM,t1,bad_all,4,original
SRM,085,SRM,t2,bad_by_nan,0,before_interpolation
SRM,086,SRM,t1,bad_by_flat,0,before_interpolation
SRM,087,SRM,t1,bad_by_deviation,0,before_interpolation
SRM,087,SRM,t2,bad_by_hf_noise,4,before_interpolation
SRM,088,SRM,t1,bad_by_correlation,0,before_interpolation
SRM,089,SRM,t1,bad_by_SNR,0,before_interpolation
SRM,090,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,091,SRM,t1,bad_by_ransac,0,before_interpolation
SRM,091,SRM,t2,bad_all,4,before_interpolation
SRM,092,SRM,t1,bad_by_nan,0,after_interpolation
SRM,093,SRM,t1,bad_by_flat,0,after_interpolation
SRM,094,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,094,SRM,t2,bad_by_hf_noise,0,after_interpolation
SRM,095,SRM,t1,bad_by_correlation,0,after_interpolation
SRM,096,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,097,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,097,SRM,t2,bad_by_ransac,0,after_interpolation
SRM,098,SRM,t1,bad_all,0,after_interpolation
SRM,099,SRM,t1,bad_by_nan,0,original
SRM,100,SRM,t1,bad_by_flat,0,original
SRM,101,SRM,t1,bad_by_deviation,0,original
SRM,101,SRM,t2,bad_by_hf_noise,4,original
SRM,102,SRM,t1,bad_by_correlation,2,original
SRM,103,SRM,t1,bad_by_SNR,0,original
SRM,104,SRM,t1,bad_by_dropout,0,original
SRM,104,SRM,t2,bad_by_ransac,1,original
SRM,105,SRM,t1,bad_all,7,original
SRM,105,SRM,t2,bad_by_nan,0,before_interpolation
SRM,106,SRM,t1,bad_by_flat,0,before_interpolation
SRM,106,SRM,t2,bad_by_deviation,0,before_interpolation
SRM,107,SRM,t1,bad_by_hf_noise,3,before_interpolation
SRM,108,SRM,t1,bad_by_correlation,3,before_interpolation
SRM,109,SRM,t1,bad_by_SNR,0,before_interpolation
SRM,110,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,110,SRM,t2,bad_by_ransac,1,before_interpolation
SRM,111,SRM,t1,bad_all,7,before_interpolation
SRM,001,SRM,t1,bad_by_nan,0,after_interpolation
SRM,002,SRM,t1,bad_by_flat,0,after_interpolation
SRM,002,SRM,t2,bad_by_deviation,0,after_interpolation
SRM,003,SRM,t1,bad_by_hf_noise,0,after_interpolation
SRM,003,SRM,t2,bad_by_correlation,0,after_interpolation
SRM,004,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,005,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,005,SRM,t2,bad_by_ransac,0,after_interpolation
SRM,006,SRM,t1,bad_all,0,after_interpolation
SRM,007,SRM,t1,bad_by_nan,0,original
SRM,007,SRM,t2,bad_by_flat,0,original
SRM,008,SRM,t1,bad_by_deviation,0,original
SRM,009,SRM,t1,bad_by_hf_noise,2,original
SRM,010,SRM,t1,bad_by_correlation,4,original
SRM,011,SRM,t1,bad_by_SNR,2,original
SRM,011,SRM,t2,bad_by_dropout,0,original
SRM,012,SRM,t1,bad_by_ransac,1,original
SRM,013,SRM,t1,bad_all,5,original
SRM,014,SRM,t1,bad_by_nan,0,before_interpolation
SRM,015,SRM,t1,bad_by_flat,0,before_interpolation
SRM,016,SRM,t1,bad_by_deviation,0,before_interpolation
SRM,017,SRM,t1,bad_by_hf_noise,4,before_interpolation
SRM,018,SRM,t1,bad_by_correlation,3,before_interpolation
SRM,019,SRM,t1,bad_by_SNR,1,before_interpolation
SRM,020,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,020,SRM,t2,bad_by_ransac,1,before_interpolation
SRM,021,SRM,t1,bad_all,6,before_interpolation
SRM,021,SRM,t2,bad_by_nan,0,after_interpolation
SRM,022,SRM,t1,bad_by_flat,0,after_interpolation
SRM,023,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,024,SRM,t1,bad_by_hf_noise,0,after_interpolation
